epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,35297.5,0.36332,0.19063,0.9402,0.99833,0.99935,0.99483,0.94456,0.37154,0.14451,0.88662,0.000892,0.000892,0.000892
186,35488.6,0.36133,0.1928,0.93979,0.99831,0.99935,0.99483,0.94426,0.37159,0.14426,0.88665,0.0008425,0.0008425,0.0008425
187,35679.7,0.3621,0.19131,0.94229,0.99836,0.99935,0.99483,0.94435,0.37162,0.14422,0.88665,0.000793,0.000793,0.000793
188,35870.8,0.35717,0.18823,0.94013,0.99828,0.99935,0.99483,0.9442,0.3716,0.14446,0.88664,0.0007435,0.0007435,0.0007435
189,36062.1,0.35886,0.18729,0.94025,0.99828,0.99935,0.99483,0.94437,0.37161,0.14456,0.88662,0.000694,0.000694,0.000694
190,36253.6,0.35626,0.18545,0.94022,0.99838,0.99935,0.99483,0.94465,0.37162,0.14461,0.88663,0.0006445,0.0006445,0.0006445
191,36461.5,0.31647,0.14139,0.93068,0.9984,0.99935,0.99483,0.94483,0.3717,0.14456,0.88659,0.000595,0.000595,0.000595
192,36650.9,0.3133,0.13967,0.92944,0.9984,0.99935,0.99483,0.94474,0.37174,0.14464,0.88659,0.0005455,0.0005455,0.0005455
193,36840.4,0.31134,0.13864,0.9279,0.9984,0.99935,0.99483,0.94493,0.37175,0.14479,0.88658,0.000496,0.000496,0.000496
194,37030,0.31133,0.14054,0.92719,0.99844,0.99935,0.99483,0.9447,0.37181,0.14476,0.88659,0.0004465,0.0004465,0.0004465
195,37219.6,0.31049,0.13995,0.92778,0.99842,0.99935,0.99483,0.94488,0.37183,0.14502,0.88662,0.000397,0.000397,0.000397
196,37409.1,0.30905,0.13744,0.92909,0.99842,0.99935,0.99483,0.9445,0.3719,0.14491,0.88666,0.0003475,0.0003475,0.0003475
197,37598.5,0.30717,0.1364,0.92343,0.99841,0.99935,0.99483,0.94499,0.37188,0.14475,0.88664,0.000298,0.000298,0.000298
198,37788.3,0.30736,0.13683,0.92574,0.99837,0.99935,0.99483,0.94458,0.37193,0.14506,0.88661,0.0002485,0.0002485,0.0002485
199,37978.3,0.30501,0.13451,0.92272,0.99837,0.99935,0.99483,0.94471,0.37201,0.14509,0.88671,0.000199,0.000199,0.000199
200,38168,0.30424,0.13466,0.92285,0.99844,0.99935,0.99483,0.94452,0.37208,0.14494,0.88675,0.0001495,0.0001495,0.0001495
