epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8060,0.46014,0.38555,0.99139,0.998,0.99935,0.99482,0.93711,0.38402,0.16164,0.90157,0.0079705,0.0079705,0.0079705
43,8250.45,0.45407,0.37561,0.99046,0.99811,0.99926,0.9948,0.93754,0.38517,0.16208,0.90312,0.007921,0.007921,0.007921
44,8440.52,0.45918,0.3781,0.99045,0.99798,0.99935,0.99481,0.93843,0.38418,0.1596,0.90234,0.0078715,0.0078715,0.0078715
45,8630.89,0.4592,0.37527,0.98928,0.99839,0.99935,0.99481,0.93873,0.38144,0.1567,0.89973,0.007822,0.007822,0.007822
46,8821.27,0.45447,0.37027,0.98611,0.99777,0.99935,0.99482,0.93889,0.38133,0.15693,0.89989,0.0077725,0.0077725,0.0077725
47,9012,0.45246,0.37015,0.98681,0.99832,0.99935,0.9948,0.93899,0.38202,0.1583,0.9006,0.007723,0.007723,0.007723
48,9202.67,0.45392,0.36574,0.98743,0.99782,0.99935,0.99478,0.9394,0.38335,0.15733,0.90107,0.0076735,0.0076735,0.0076735
49,9393.09,0.45112,0.36375,0.98697,0.99814,0.99913,0.99479,0.93812,0.38242,0.15824,0.90093,0.007624,0.007624,0.007624
50,9583.51,0.45469,0.36081,0.98886,0.99792,0.99914,0.99476,0.93825,0.38276,0.15804,0.90047,0.0075745,0.0075745,0.0075745
51,9774.17,0.45029,0.35901,0.98795,0.99805,0.99913,0.9948,0.93934,0.38118,0.15696,0.89927,0.007525,0.007525,0.007525
52,9964.64,0.4494,0.35825,0.98362,0.99835,0.9993,0.9948,0.94055,0.38002,0.15348,0.89818,0.0074755,0.0074755,0.0074755
53,10155.2,0.44812,0.35437,0.9843,0.99799,0.99935,0.9948,0.93981,0.38029,0.15383,0.89833,0.007426,0.007426,0.007426
54,10345.7,0.44822,0.3507,0.98419,0.99783,0.99935,0.9948,0.93869,0.38082,0.15365,0.8987,0.0073765,0.0073765,0.0073765
55,10536.3,0.44574,0.34688,0.98538,0.9979,0.99935,0.99477,0.93927,0.38056,0.15383,0.89853,0.007327,0.007327,0.007327
56,10726.8,0.44842,0.34825,0.98641,0.99821,0.99935,0.9948,0.9391,0.38022,0.15391,0.89805,0.0072775,0.0072775,0.0072775
57,10917.2,0.44951,0.34858,0.98566,0.99826,0.99935,0.99482,0.94057,0.37907,0.15278,0.89704,0.007228,0.007228,0.007228
58,11107.6,0.44753,0.34134,0.98429,0.99846,0.99935,0.99483,0.94084,0.37848,0.15233,0.89638,0.0071785,0.0071785,0.0071785
59,11297.9,0.44587,0.33908,0.98674,0.99833,0.99935,0.99483,0.94167,0.37811,0.15267,0.89592,0.007129,0.007129,0.007129
60,11488.6,0.44516,0.33869,0.98308,0.99837,0.99935,0.99483,0.94124,0.378,0.15227,0.89599,0.0070795,0.0070795,0.0070795
61,11679.2,0.44469,0.33699,0.98232,0.99845,0.99935,0.99483,0.94115,0.37819,0.15171,0.89607,0.00703,0.00703,0.00703
62,11869.8,0.44406,0.33731,0.98277,0.99867,0.99935,0.99482,0.94055,0.37747,0.15178,0.8958,0.0069805,0.0069805,0.0069805
63,12059.8,0.44205,0.33078,0.98221,0.99858,0.99935,0.99482,0.94141,0.37703,0.15232,0.89559,0.006931,0.006931,0.006931
64,12250.5,0.43742,0.32442,0.97911,0.99867,0.99935,0.99483,0.94079,0.37689,0.15109,0.89531,0.0068815,0.0068815,0.0068815
65,12440.9,0.43931,0.3252,0.97926,0.99845,0.99935,0.99483,0.94118,0.37663,0.15005,0.89509,0.006832,0.006832,0.006832
66,12631.3,0.4404,0.32619,0.98032,0.99847,0.99935,0.99483,0.94179,0.37638,0.14978,0.89477,0.0067825,0.0067825,0.0067825
67,12821.2,0.4408,0.32641,0.98038,0.99842,0.99935,0.99483,0.94166,0.37659,0.15004,0.89477,0.006733,0.006733,0.006733
68,13011.7,0.43965,0.32235,0.9814,0.99802,0.99935,0.99482,0.94182,0.37668,0.14976,0.89474,0.0066835,0.0066835,0.0066835
69,13202.2,0.43909,0.31799,0.97889,0.99817,0.99935,0.99482,0.9423,0.37651,0.14998,0.89453,0.006634,0.006634,0.006634
70,13392.4,0.43816,0.31693,0.97993,0.99833,0.99935,0.99482,0.94177,0.3763,0.14916,0.89413,0.0065845,0.0065845,0.0065845
71,13582.8,0.43852,0.31363,0.97704,0.99812,0.99935,0.99482,0.94221,0.37591,0.14862,0.89362,0.006535,0.006535,0.006535
72,13773.2,0.43378,0.31251,0.97745,0.99813,0.99935,0.99482,0.94267,0.37558,0.14789,0.89342,0.0064855,0.0064855,0.0064855
73,13963.8,0.43738,0.31281,0.97954,0.99812,0.99935,0.99482,0.94194,0.37531,0.14823,0.89316,0.006436,0.006436,0.006436
74,14154.2,0.43333,0.31004,0.97577,0.99813,0.99935,0.99481,0.94179,0.37526,0.14826,0.89285,0.0063865,0.0063865,0.0063865
75,14344.6,0.43295,0.31044,0.97951,0.99806,0.99935,0.99481,0.94177,0.37519,0.14822,0.89263,0.006337,0.006337,0.006337
76,14534.9,0.43398,0.30755,0.97767,0.99805,0.99935,0.9948,0.94138,0.375,0.14826,0.89235,0.0062875,0.0062875,0.0062875
77,14725.1,0.43348,0.30778,0.97677,0.99813,0.99935,0.9948,0.9418,0.37511,0.14776,0.89226,0.006238,0.006238,0.006238
78,14915.7,0.43264,0.30837,0.97537,0.99818,0.99935,0.99481,0.94189,0.37488,0.1476,0.89196,0.0061885,0.0061885,0.0061885
79,15106.1,0.43372,0.30097,0.97655,0.99821,0.99935,0.99481,0.94216,0.37461,0.14732,0.89174,0.006139,0.006139,0.006139
80,15296.5,0.43349,0.30284,0.97576,0.9983,0.99935,0.99481,0.94219,0.37443,0.14701,0.89153,0.0060895,0.0060895,0.0060895
81,15487.1,0.43079,0.30229,0.97525,0.99838,0.99935,0.9948,0.94176,0.37434,0.1476,0.89147,0.00604,0.00604,0.00604
82,15677.4,0.42934,0.29804,0.97612,0.99837,0.99935,0.99479,0.94155,0.37426,0.14709,0.89147,0.0059905,0.0059905,0.0059905
83,15867.6,0.42934,0.29495,0.97636,0.99824,0.99935,0.99479,0.94125,0.37431,0.14735,0.89149,0.005941,0.005941,0.005941
84,16057.6,0.42946,0.29138,0.97604,0.99817,0.99935,0.99479,0.94117,0.37448,0.14698,0.89159,0.0058915,0.0058915,0.0058915
85,16248.2,0.43053,0.29845,0.97363,0.99807,0.99935,0.99479,0.94213,0.37453,0.1468,0.89152,0.005842,0.005842,0.005842
86,16438.8,0.42563,0.28875,0.9707,0.99808,0.99935,0.99479,0.94246,0.37449,0.14666,0.89139,0.0057925,0.0057925,0.0057925
87,16629.5,0.42564,0.29347,0.97249,0.99806,0.99935,0.99479,0.94215,0.37441,0.14638,0.89143,0.005743,0.005743,0.005743
